Customer ID,CIBIL ID,Customer Name,Age,Gender,Marital Status,PAN Number,Phone,Email,Address,Type of Property (Rented/Owned),Postal code,Education level,Employment Status,Experience,Salary,CIBIL Score,Product Type,Loan Amount,Interest Rate,Loan Tenure,Eligibility (0/1)
HDFC-CUST-0001,227133320,Nikita Gupta,38,Male,Married,GDCTO5002T,6577442871,nikitagupta64@outlook.com,"Pune, Maharashtra",Rented,411014,Postgraduate,Self-Employed,12,67885,785,Platinum Personal Loan,612000,8.18,42,1
HDFC-CUST-0002,617139656,Myra Sawant,33,Male,Married,JOVQW5702J,6883481367,myrasawant97@gmail.com,"Kolkata, West Bengal",Rented,700001,Graduate,Salaried,10,30365,854,Platinum Credit Card Loan,121000,12.88,24,1
HDFC-CUST-0003,781165354,Vihaan Reddy,39,Male,Married,KBXOS2486E,8175745391,vihaanreddy73@gmail.com,"Pune, Maharashtra",Owned,411014,12th Pass,Government,6,31884,622,Silver Personal Loan,77000,18.65,30,1
HDFC-CUST-0004,999541398,Atharv Thakur,46,Male,Married,CXTTI2107X,8975168513,atharvthakur30@icici.com,"Chennai, Tamil Nadu",Rented,600001,12th Pass,Salaried,3,39933,759,Gold Credit Card Loan,97000,16.09,12,1
HDFC-CUST-0005,200550700,Dhruv Nair,32,Male,Married,YCMBT7145I,9997673638,dhruvnair67@gmail.com,"Nashik, Maharashtra",Rented,422001,10th Pass,Salaried,9,36737,674,Silver Personal Loan,61000,18.43,24,1
HDFC-CUST-0006,151148088,Aditya Joshi,32,Male,Single,HMOSW5244D,6634806607,adityajoshi23@yahoo.com,"Mumbai, Maharashtra",Rented,400001,12th Pass,Retired,8,22322,686,Gold Credit Card Loan,50000,20.51,36,1
HDFC-CUST-0007,705581901,Muhammad Nair,47,Male,Married,YWEMF4039I,9267764120,muhammadnair79@gmail.com,"Pune, Maharashtra",Owned,411045,10th Pass,Salaried,10,56660,679,Silver Personal Loan,122000,17.71,18,1
HDFC-CUST-0008,551302245,Yashvi Patil,40,Male,Single,YOPBC6532V,8236237049,yashvipatil22@gmail.com,"Noida, Uttar Pradesh",Owned,201301,Postgraduate,Salaried,9,64491,660,Silver Credit Card Loan,102000,24.06,30,1
HDFC-CUST-0009,762754008,Tanmay Mishra,30,Male,Married,OYCWG8712G,8262498042,tanmaymishra10@outlook.com,"Pune, Maharashtra",Rented,411014,Postgraduate,Self-Employed,10,48079,723,Gold Personal Loan,135000,11.71,30,1
HDFC-CUST-0010,73988827,Ayaan Sawant,38,Male,Married,PDDIX7882H,6358979217,ayaansawant32@rediffmail.com,"Aurangabad, Maharashtra",Rented,431001,Graduate,Salaried,4,83734,662,Silver Credit Card Loan,153000,23.44,18,1
HDFC-CUST-0011,147365352,Muhammad Parekh,30,Male,Married,FVLHU2013C,8356830825,muhammadparekh43@gmail.com,"Gurugram, Haryana",Owned,122001,Graduate,Salaried,11,22602,739,Gold Personal Loan,110000,12.12,30,1
HDFC-CUST-0012,276346579,Mahika Sharma,30,Male,Single,BRIIW7334M,8516371548,mahikasharma48@outlook.com,"Thane, Maharashtra",Owned,400601,PhD,Salaried,7,36308,716,Gold Credit Card Loan,109000,17.59,36,1
HDFC-CUST-0013,286459114,Ishaan Kulkarni,36,Female,Single,QIVTR2102P,6485733168,ishaankulkarni23@rediffmail.com,"Pune, Maharashtra",Owned,411014,Graduate,Salaried,14,27951,703,Gold Personal Loan,130000,11.73,36,1
HDFC-CUST-0014,126704542,Saanvi Thakur,21,Female,Married,XPSNV5874I,7827424723,saanvithakur79@gmail.com,"Noida, Uttar Pradesh",Owned,201301,Graduate,Salaried,3,15731,656,Silver Credit Card Loan,0,0.0,0,0
HDFC-CUST-0015,35061403,Kiara Parekh,21,Male,Married,TJAJT8947R,7424367789,kiaraparekh89@icici.com,"Pune, Maharashtra",Owned,411001,Postgraduate,Salaried,13,38380,680,Gold Personal Loan,196000,12.8,24,1
HDFC-CUST-0016,423697713,Rohan Gaikwad,30,Female,Single,WHYKV4709H,6767910116,rohangaikwad82@yahoo.com,"Ahmedabad, Gujarat",Owned,380001,Graduate,Salaried,7,37638,773,Platinum Credit Card Loan,216000,13.64,30,1
HDFC-CUST-0017,438411566,Vaishnavi Verma,26,Female,Married,XJYFP8263V,6750560604,vaishnaviverma72@gmail.com,"Pune, Maharashtra",Rented,411045,Graduate,Government,3,102301,755,Gold Personal Loan,547000,10.93,42,1
HDFC-CUST-0018,907476647,Sara Salunkhe,37,Female,Single,TGWVC8246M,8081273872,sarasalunkhe11@icici.com,"Bengaluru, Karnataka",Owned,560001,10th Pass,Salaried,4,54833,652,Silver Credit Card Loan,83000,24.6,30,1
HDFC-CUST-0019,598233710,Reyansh Chatterjee,27,Male,Single,GRJOI9534J,8273796172,reyanshchatterjee85@icici.com,"Hyderabad, Telangana",Rented,500001,Graduate,Government,5,28764,727,Gold Personal Loan,119000,11.54,24,1
HDFC-CUST-0020,767254489,Vihaan Thakur,23,Female,Married,DWMWO4410P,6840601539,vihaanthakur25@icici.com,"Aurangabad, Maharashtra",Rented,431001,Graduate,Salaried,8,101081,773,Platinum Credit Card Loan,719000,13.49,36,1
HDFC-CUST-0021,456980137,Tanmay Chauhan,46,Male,Married,TYFFR1100O,9227746976,tanmaychauhan94@yahoo.com,"Thane, Maharashtra",Rented,400601,Graduate,Government,8,88386,603,Silver Personal Loan,0,0.0,0,0
HDFC-CUST-0022,542948944,Trisha Chatterjee,32,Female,Single,RSYNM0043I,6098599620,trishachatterjee32@rediffmail.com,"Jaipur, Rajasthan",Owned,302001,Diploma,Government,4,64215,758,Gold Credit Card Loan,267000,16.84,24,1
HDFC-CUST-0023,946196215,Ananya Deshmukh,35,Male,Single,SHYVO4339M,6654137672,ananyadeshmukh80@yahoo.com,"Kolkata, West Bengal",Owned,700001,Graduate,Salaried,6,35717,674,Silver Personal Loan,92000,17.16,36,1
HDFC-CUST-0024,958225941,Siya Shetty,23,Male,Single,VCYQE9274P,9253958827,siyashetty63@outlook.com,"Noida, Uttar Pradesh",Owned,201301,Graduate,Self-Employed,15,28471,760,Gold Credit Card Loan,62000,16.36,24,1
HDFC-CUST-0025,884547461,Sara Salunkhe,30,Female,Single,TJYWZ2384K,9783689405,sarasalunkhe85@outlook.com,"Kolhapur, Maharashtra",Owned,416003,Graduate,Salaried,13,33208,667,Silver Personal Loan,119000,17.83,30,1
HDFC-CUST-0026,120303424,Navya Bose,35,Female,Married,KCIRN9684R,6626220977,navyabose22@rediffmail.com,"Ahmedabad, Gujarat",Rented,380001,Graduate,Government,8,82729,594,Silver Credit Card Loan,0,0.0,0,0
HDFC-CUST-0027,981332608,Rudra Singh,25,Male,Single,WQGXD4220Z,9961435642,rudrasingh48@yahoo.com,"Noida, Uttar Pradesh",Rented,201301,Graduate,Salaried,6,102634,606,Silver Personal Loan,282000,19.79,42,1
HDFC-CUST-0028,31934278,Kavya Ghosh,37,Male,Married,RTBPM9276L,7666768696,kavyaghosh49@rediffmail.com,"Pune, Maharashtra",Rented,411045,Postgraduate,Self-Employed,6,99510,723,Gold Credit Card Loan,427000,18.27,24,1
HDFC-CUST-0029,891208592,Isha Pawar,29,Female,Married,GVMUT3191H,9983705466,ishapawar84@rediffmail.com,"Jaipur, Rajasthan",Rented,302001,Postgraduate,Student,8,18795,738,Gold Personal Loan,64000,12.01,12,1
HDFC-CUST-0030,423939602,Arjun Gaikwad,32,Female,Married,DBAZD2533X,9578686926,arjungaikwad37@rediffmail.com,"Ahmedabad, Gujarat",Owned,380001,12th Pass,Self-Employed,2,26280,657,Silver Credit Card Loan,50000,23.58,24,1
HDFC-CUST-0031,600723107,Sai Gaikwad,29,Male,Married,QPAUG1507G,7827752995,saigaikwad32@gmail.com,"Bengaluru, Karnataka",Rented,560001,Postgraduate,Salaried,5,42919,765,Gold Personal Loan,205000,10.65,24,1
